run,reference_step,step,n_tensors,changed_tensor_fraction,median_changed_element_fraction,median_mean_abs_delta,median_relative_l2_delta,max_abs_delta
bf16-native,10,10,160,0.0,0.0,0.0,0.0,0.0
bf16-native,10,50,160,0.0,0.0,0.0,0.0,0.0
bf16-native,10,100,160,0.0,0.0,0.0,0.0,0.0
bf16-native,10,200,160,0.0,0.0,0.0,0.0,0.0
bf16-native,10,500,160,0.0,0.0,0.0,0.0,0.0
bf16-native,10,1000,160,0.0,0.0,0.0,0.0,0.0
bf16-native,10,2000,160,0.0,0.0,0.0,0.0,0.0
fp32-magnitude,10,10,160,0.0,0.0,0.0,0.0,0.0
fp32-magnitude,10,50,160,1.0,1.0,0.0003933920143026626,0.0004050632600950516,0.0015665292739868164
fp32-magnitude,10,100,160,1.0,1.0,0.0005880251410417259,0.000665919145833077,0.004961788654327393
fp32-magnitude,10,200,160,1.0,1.0,0.000878904240380507,0.0010278007388563166,0.007863819599151611
fp32-magnitude,10,500,160,1.0,1.0,0.0013678986579179764,0.0016054448275572546,0.012196898460388184
fp32-magnitude,10,1000,160,1.0,1.0,0.001758557635184843,0.0020408433639673763,0.016038894653320312
fp32-magnitude,10,2000,160,1.0,1.0,0.0019433745765127242,0.0022465445377179,0.019991040229797363
