run_id,run,method,seed,target_module,slope_all_layers,correlation_all_layers,r_squared_all_layers,n_all_layers,slope_excluding_layer0,correlation_excluding_layer0,r_squared_excluding_layer0,n_excluding_layer0
dora-seed42,DoRA (seed 42),DoRA,42,q_proj,0.27118827064894213,0.744844367893306,0.5547931323823786,24,0.5043691515897514,0.9472789050139956,0.8973373238845145,20
dora-seed42,DoRA (seed 42),DoRA,42,v_proj,0.12257295052770101,0.6897352711671498,0.4757347442920217,24,0.11448725640964483,0.6879840928404721,0.47332211200152735,20
dora-seed43,DoRA (seed 43),DoRA,43,q_proj,0.2271202154344139,0.6752148756557993,0.4559151283068765,24,0.4907948214277321,0.8990155396639898,0.8082289405573349,20
dora-seed43,DoRA (seed 43),DoRA,43,v_proj,0.12211261785035686,0.6841754617263505,0.46809606242846485,24,0.11342363622667405,0.673286943816849,0.4533153087142327,20
lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,q_proj,0.7851306565735302,0.9940655184291842,0.9881662549298827,24,0.7902686673520977,0.9804976669649823,0.9613756749237734,20
lora-match-seed42,LoRA lr-match (seed 42),LoRA lr-match,42,v_proj,0.36265267005780355,0.9525558401688731,0.9073626286398276,24,0.3532260273736965,0.9529467468446308,0.9081075023217648,20
lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,0.7570993508240929,0.9929898474967414,0.9860288372316016,24,0.7918270983287776,0.979252447101679,0.9589353551546267,20
lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,0.36313935519749513,0.9559406191364823,0.9138224673150411,24,0.35297587870069297,0.9554662723953693,0.912915797685102,20
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,1.3046807658942425,0.2934872077981461,0.08613474114115217,24,4.202351954685881,0.4897859866476429,0.239890312716405,20
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,v_proj,0.66371588039309,0.3726747869373443,0.13888649681879497,24,0.5791810425583435,0.3523444026387235,0.12414657807083891,20
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,q_proj,1.761963200824611,0.39214590143740746,0.15377840801415688,24,4.592022004843118,0.5628968176436812,0.31685282731338366,20
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,v_proj,0.5734124637212493,0.2952511088860026,0.08717321729841415,24,0.4959304784080654,0.2726719219838259,0.07434997703835364,20
qlora-seed42,QLoRA (seed 42),QLoRA,42,q_proj,1.3203952301134447,0.9090272243482489,0.8263304946062816,24,0.46465114102937033,0.8185854560670046,0.670082148884426,20
qlora-seed42,QLoRA (seed 42),QLoRA,42,v_proj,0.2689647280049123,0.8928469959878549,0.7971757582445366,24,0.26175507121897984,0.9148742335091552,0.8369948631389642,20
qlora-seed43,QLoRA (seed 43),QLoRA,43,q_proj,1.426370078399003,0.8623411128437914,0.7436321949006687,24,0.4252564185208297,0.8586786623747258,0.7373290452176483,20
qlora-seed43,QLoRA (seed 43),QLoRA,43,v_proj,0.22788532694823224,0.8276610941737542,0.685022886808896,24,0.21888419685935023,0.8700797946425227,0.7570388490451745,20
