run_id,run,method,seed,snapshot,step,checkpoint_fraction,layer,target_module,quantized_base,delta_direction,delta_magnitude_paper,delta_magnitude_rel,coefficient_update_rel,effective_weight_update_rel,quant_delta_direction,total_delta_direction,quant_delta_magnitude_paper,quant_delta_magnitude_rel,total_delta_magnitude_paper,total_delta_magnitude_rel
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,0,down_proj,False,0.005808744579553604,0.006538359448313713,0.006508946884423494,0.1068350300192833,0.10644195973873138,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,1,down_proj,False,0.005736308638006449,0.006373743526637554,0.006300011184066534,0.10782510042190552,0.10690771043300629,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,2,down_proj,False,0.0048156483098864555,0.0064566247165203094,0.006319517735391855,0.0983162596821785,0.0981067419052124,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,3,down_proj,False,0.00530996872112155,0.006509315222501755,0.006550040561705828,0.10302407294511795,0.10271758586168289,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,4,down_proj,False,0.0049324906431138515,0.006269019562751055,0.006468145176768303,0.0991930365562439,0.09896910935640335,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,5,down_proj,False,0.004736754577606916,0.006445720326155424,0.006633224431425333,0.09697724133729935,0.09674908965826035,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,0,k_proj,False,0.003172453958541155,0.006247597746551037,0.004800575319677591,0.06388873606920242,0.06365218013525009,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,1,k_proj,False,0.0011530796764418483,0.004989877343177795,0.003994225058704615,0.034753575921058655,0.03493950888514519,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,2,k_proj,False,0.0014995045494288206,0.005818500183522701,0.004282321315258741,0.04001855477690697,0.04017915204167366,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,3,k_proj,False,0.001137944171205163,0.005854488350450993,0.004376387223601341,0.0403883196413517,0.040574319660663605,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,4,k_proj,False,0.0009650389547459781,0.005732348654419184,0.004329118877649307,0.03836522251367569,0.038553789258003235,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,5,k_proj,False,0.0018490012735128403,0.006140288431197405,0.004566596820950508,0.047869980335235596,0.04797939583659172,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,0,q_proj,False,0.005146396812051535,0.006024376023560762,0.006725708954036236,0.07701937109231949,0.07676330953836441,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,1,q_proj,False,0.002532312413677573,0.005274882074445486,0.005747450515627861,0.05304428189992905,0.05322554334998131,,,,,,
