relationship,run_id,run,method,seed,target_module,layer,predictor,outcome,slope,intercept,correlation,r_squared,n_points
delta_m_vs_delta_d,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,,delta_direction,delta_magnitude_rel,0.379813761259901,0.00464824081261675,0.9482040070610931,0.8990908390067135,24
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.07356701791286467,0.09742549806833264,0.9249029258401401,0.8554454222276517,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.04860053062438965,0.1016223579645157,0.925759260559553,0.8570302085117705,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.07577035725116729,0.08853472024202344,0.9259120015047667,0.8573130345305631,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.07589669525623316,0.09307893365621572,0.927636851298514,0.8605101278870214,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.07191420197486878,0.0900328531861305,0.9241771151319019,0.8541033401335247,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,down_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.06963643133640289,0.08786162734031676,0.9276671134770219,0.8605662734267898,4
delta_m_vs_delta_d,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,,delta_direction,delta_magnitude_rel,0.24240929447726348,0.0045131605084452525,0.6834456778206587,0.4670979945317396,24
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.04286758005619046,0.059364404529333115,0.9002942317401245,0.8105297037045409,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.0249855950474739,0.030985813587903983,0.94597773626043,0.8948738775004077,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.032758207619190204,0.035278949886560426,0.9419336831100333,0.8872390633772327,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.0333003893494606,0.03554615005850791,0.9394186352770809,0.8825073723058532,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.03343050181865692,0.03357913717627525,0.9375938611083764,0.8790822483881134,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,k_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.03751914501190184,0.04273391515016558,0.9329229328946732,0.870345198720799,4
delta_m_vs_delta_d,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,,delta_direction,delta_magnitude_paper,0.27118827064894213,0.005487190610733676,0.744844367893306,0.5547931323823786,24
delta_m_vs_delta_d,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,,delta_direction,delta_magnitude_rel,0.315798189649781,0.006218262562318978,0.708317129506202,0.5017131559519057,24
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.055005735158920266,0.06895941868424418,0.9420593011756252,0.8874757269315073,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.03540823757648468,0.048095766454935074,0.9360800347047843,0.8762458313729101,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.04795445054769514,0.05322108417749405,0.936789821196037,0.877575169096503,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.046855400502681735,0.053503725677728625,0.9326937677377812,0.8699176643768982,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.04764792323112487,0.05264894291758535,0.934348858833677,0.8730077900037945,4
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,q_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.050636115670204124,0.05532004684209824,0.9392385592312825,0.8821690711468554,4
delta_m_vs_delta_d,dora-seed42,DoRA (seed 42),DoRA,42,up_proj,,delta_direction,delta_magnitude_rel,0.450820598177925,0.009073387707342164,0.8990446196666751,0.8082812281515965,24
coefficient_update_vs_checkpoint,dora-seed42,DoRA (seed 42),DoRA,42,up_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.10463974773883815,0.10703592747449873,0.9347096038720942,0.8736820435707273,4
