run,family,key,distinct_hashes,snapshots,dtype,moved
bf16-native,lora_A,base_model.model.model.layers.0.mlp.down_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.0.mlp.up_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.0.self_attn.k_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.0.self_attn.q_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.0.self_attn.v_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.15.mlp.down_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.15.mlp.up_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.15.self_attn.k_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.15.self_attn.q_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.15.self_attn.v_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.31.mlp.down_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.31.mlp.up_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.31.self_attn.k_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_A,base_model.model.model.layers.31.self_attn.v_proj.lora_A.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.0.mlp.down_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.0.mlp.up_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.0.self_attn.k_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.0.self_attn.q_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.0.self_attn.v_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.15.mlp.down_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.15.mlp.up_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.15.self_attn.k_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.15.self_attn.q_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.15.self_attn.v_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.31.mlp.down_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.31.mlp.up_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.31.self_attn.k_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight,7,7,BF16,True
bf16-native,lora_B,base_model.model.model.layers.31.self_attn.v_proj.lora_B.weight,7,7,BF16,True
bf16-native,magnitude,base_model.model.model.layers.0.mlp.down_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.0.mlp.up_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.0.self_attn.k_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.0.self_attn.q_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.0.self_attn.v_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.1.mlp.down_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.1.mlp.up_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.1.self_attn.k_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.1.self_attn.q_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.1.self_attn.v_proj.lora_magnitude_vector,1,7,BF16,False
bf16-native,magnitude,base_model.model.model.layers.10.mlp.down_proj.lora_magnitude_vector,1,7,BF16,False
